,ID,Complete All,Finished,Public Profile,Getting Started with Google Kubernetes Engine,Google Cloud Fundamentals: Core Infrastructure,Essential Google Cloud Infrastructure: Foundation,Essential Google Cloud Infrastructure: Core Services,Optimize Costs for Google Kubernetes Engine,Build Infrastructure with Terraform on Google Cloud
13,230229153,Yes,6,https://www.cloudskillsboost.google/public_profiles/2c96e2de-ca59-468b-ad33-e0ec497f4203,X,X,X,X,X,X
57,230235516,Yes,6,https://www.cloudskillsboost.google/public_profiles/68c9d745-fd8a-423b-8ae7-a2c5f2149066,X,X,X,X,X,X
59,230235541,Yes,6,https://www.cloudskillsboost.google/public_profiles/9d0e81c3-e680-42b5-82a6-f96cee4e1e41,X,X,X,X,X,X
19,230241744,No,1,https://www.cloudskillsboost.google/public_profiles/513c97fe-5aca-47b1-98bd-ef539ad5a349,X,,,,,
35,230242175,No,1,https://www.cloudskillsboost.google/public_profiles/a5c263b5-d242-47a0-83a0-920203ffd945,X,,,,,
41,230247539,No,2,https://www.cloudskillsboost.google/public_profiles/d8a423aa-a097-4d85-92a5-3419a837beef,X,X,,,,
68,230262137,No,4,https://www.cloudskillsboost.google/public_profiles/e367c0d7-0040-4b96-ad3e-9df9afd3b0e1,,X,X,X,,X
26,230279433,No,4,https://www.cloudskillsboost.google/public_profiles/f5a2efcd-94bf-4145-b113-f01344d0ac5d,X,X,X,X,,
10,230280303,No,0,https://www.cloudskillsboost.google/public_profiles/c469cf97-4f2a-436c-9bef-7dfe156917e7,,,,,,
83,230309903,No,0,https://www.cloudskillsboost.google/public_profiles/af5e84ac-b39b-4d23-9d2b-a5be5ec38475,,,,,,
82,230318186,No,0,https://www.cloudskillsboost.google/public_profiles/ebae73f7-1007-4a88-babd-e6bccf9432b6,,,,,,
40,230329096,No,5,https://www.cloudskillsboost.google/public_profiles/de0b62eb-025c-4a76-adae-166164c41976,X,X,X,X,,X
48,230331203,No,1,https://www.cloudskillsboost.google/public_profiles/ea9b822c-d6d7-43c7-8e77-d27930b6ed4b,X,,,,,
62,230341478,Yes,6,https://www.cloudskillsboost.google/public_profiles/1d075435-b640-4724-818c-3b18818fda2f,X,X,X,X,X,X
23,230343367,Yes,6,https://www.cloudskillsboost.google/public_profiles/aaf5431b-f21b-43f1-81d8-920d8adc9b28,X,X,X,X,X,X
24,230343435,Yes,6,https://www.cloudskillsboost.google/public_profiles/81f6e26f-c6b6-4969-8130-f8cafb1a9347,X,X,X,X,X,X
3,230345570,Yes,6,https://www.cloudskillsboost.google/public_profiles/5160c0c2-3032-49fc-a2f0-75a3422dba2e,X,X,X,X,X,X
54,230345729,No,0,https://www.cloudskillsboost.google/public_profiles/e248da54-7f64-4e91-8d1c-f0422386cb6f,,,,,,
42,230351785,No,3,https://www.cloudskillsboost.google/public_profiles/32ae87d7-93ef-4a88-bf87-1c2e3e83d6eb,X,,,,X,X
29,230353858,No,1,https://www.cloudskillsboost.google/public_profiles/4a1a5b56-b8ab-4bf7-adbb-051e76e43fac,X,,,,,
76,230389216,Yes,6,https://www.cloudskillsboost.google/public_profiles/9b59f8ae-766f-4f62-b7eb-ea582b731cd6,X,X,X,X,X,X
1,230490969,No,0,https://www.cloudskillsboost.google/public_profiles/ff0d3b16-4edb-415c-a7e6-f1309cafc2fb,,,,,,
73,230494004,No,0,https://www.cloudskillsboost.google/public_profiles/25a273bd-b7b9-4709-bde8-790d2921738a,,,,,,
